"Column name","Requested field","DwC Name","Field name","Field description","Download field name","Download field description","More information"
"Record ID","id","recordID","id","Record ID","id","Record ID","Atlas unique ID for this record http://rs.tdwg.org/dwc/terms/recordID"
"Data Resource ID","dataResourceUid","","dataResourceUid","Dataset","dataResourceUid","Data Resource ID","A list (concatenated and separated) of preparations and preservation methods for a specimen."
"Data Resource Name","dataResourceName","","dataResourceName","Dataset","dataResourceName","Data Resource Name","The data resource that supplies the record. This is typically a CSV or DwCA file, or a webservice."
"Institution ID","institutionUid","","institutionUid","Institution","institutionUid","Institution ID","Atlas ID for this institution"
"Institution","institutionName","","institutionName","Institution","institutionName","Institution","The name in use by the institution having custody of the object(s) or information referred to in the record."
"Collection ID","collectionUid","","collectionUid","Collection","collectionUid","Collection ID","Atlas ID for this collection"
"Collection","collectionName","","collectionName","Collection","collectionName","Collection","The name of the collection for this record e.g. Entomology Collection"
"Licence","license","dcterms:license","license","License","license","Licence","The license applying to a record."
"Catalogue Number","catalogNumber","catalogNumber","catalogNumber","Catalogue Number","catalogNumber","Catalogue Number","http://rs.tdwg.org/dwc/terms/catalogNumber"
"Taxon Concept GUID","taxonConceptID","taxonConceptID","taxonConceptID","Taxon Concept GUID","taxonConceptID","Taxon Concept GUID","The GUID for the concept in the National Species List (NSL) http://rs.tdwg.org/dwc/terms/taxonConceptID"
"Scientific Name - original","raw_scientificName","verbatimScientificName","raw_scientificName","Scientific name (unprocessed)","raw_scientificName","Scientific Name - original","Original scientific name supplied with the record http://rs.tdwg.org/dwc/terms/verbatimScientificName"
"Vernacular name - original","raw_vernacularName","","raw_vernacularName","Common name (unprocessed)","raw_vernacularName","Vernacular name - original","The original common name value supplied by the data provider"
"Scientific Name (intepreted)","scientificName","scientificName","scientificName","Scientific name","scientificName","Scientific Name (intepreted)","The name the Atlas has matched this record to in the NSL http://rs.tdwg.org/dwc/terms/scientificName"
"Taxon Rank","taxonRank","taxonRank","taxonRank","Identified to rank","taxonRank","Taxon Rank","http://rs.tdwg.org/dwc/terms/taxonRank"
"Vernacular name","vernacularName","vernacularName","vernacularName","vernacularName","vernacularName","Vernacular name","The common name the ALA has matched this record to in the NSL http://rs.tdwg.org/dwc/terms/vernacularName"
"Kingdom","kingdom","kingdom","kingdom","Kingdom","kingdom","Kingdom","The kingdom the Atlas has matched this record to in the system classification http://rs.tdwg.org/dwc/terms/kingdom"
"Phylum","phylum","phylum","phylum","Phylum","phylum","Phylum","The phylum the Atlas has matched this record to in the NSL http://rs.tdwg.org/dwc/terms/phylum"
"Class","class","class","class","Class","class","Class","The class the Atlas has matched this record to in the NSL http://rs.tdwg.org/dwc/terms/class"
"Order","order","order","order","Order","order","Order","The order the Atlas has matched this record to in the NSL http://rs.tdwg.org/dwc/terms/order"
"Family","family","family","family","Family","family","Family","The family the Atlas has matched this record to in the NSL http://rs.tdwg.org/dwc/terms/family"
"Genus","genus","genus","genus","Genus","genus","Genus","The genus the Atlas has matched this record to in the NSL http://rs.tdwg.org/dwc/terms/genus"
"Species","species","species","species","Species","species","Species","The species the Atlas has matched this record to in the NSL http://rs.tdwg.org/dwc/terms/species"
"Subspecies","subspecies","","subspecies","Subspecies","subspecies","Subspecies","The subspecies the Atlas has matched this record to in the NSL"
